序号,简体,繁体,康熙笔画,字义五行
1152,嘤,嚶,20,土
1153,壤,壤,20,土
1154,岿,巋,20,土
1155,痒,癢,20,土
1156,矾,礬,20,土
1157,矿,礦,20,土
1158,砺,礪,20,土
1159,砾,礫,20,土
1160,礤,礤,20,土
1161,罂,罌,20,土
1162,邺,鄴,20,土
1163,鹜,鶩,20,土
1164,鼯,鼯,20,土
1165,孀,孀,20,金
1166,缱,繾,20,金
1167,聍,聹,20,金
1168,蝾,蠑,20,金
1169,蠕,蠕,20,金
1170,襦,襦,20,金
1171,触,觸,20,金
1172,译,譯,20,金
1173,谵,譫,20,金
1174,躁,躁,20,金
1175,躇,躇,20,金
1176,邃,邃,20,金
1177,释,釋,20,金
1178,铧,鏵,20,金
1179,铴,鐋,20,金
1180,铹,鐒,20,金
1181,锈,鏽,20,金
1182,镡,鐔,20,金
1183,镣,鐐,20,金
1184,镤,鏷,20,金
1185,镦,鐓,20,金
1186,镫,鐙,20,金
1187,霰,霰,20,金
1188,馐,饈,20,金
1189,馨,馨,20,金
1190,驺,騶,20,金
1191,骚,騷,20,金
1192,骟,騸,20,金
1193,鳃,鰓,20,金
1194,黥,黥,20,金
1195,咸,鹹,20,水
1196,响,響,20,水
1197,怀,懷,20,水
1198,懵,懵,20,水
1199,沥,瀝,20,水
1200,泷,瀧,20,水
1201,泸,瀘,20,水
1202,潆,瀠,20,水
1203,潇,瀟,20,水
1204,潴,瀦,20,水
1205,濑,瀨,20,水
1206,濒,瀕,20,水
1207,瀚,瀚,20,水
1208,瀛,瀛,20,水
1209,瀣,瀣,20,水
1210,缤,繽,20,水
1211,罴,羆,20,水
1212,膑,臏,20,水
1213,艨,艨,20,水
1214,蚝,蠔,20,水
1215,蠓,蠓,20,水
1216,譬,譬,20,水
1217,辫,辮,20,水
1218,迈,邁,20,水
1219,还,還,20,水
1220,避,避,20,水
1221,邂,邂,20,水
1222,露,露,20,水
1223,颟,顢,20,水
1224,馒,饅,20,水
1225,鳆,鰒,20,水
1226,鹕,鶘,20,水
1227,龅,齙,20,水
1228,嚣,囂,21,木
1229,拦,攔,21,木
1230,栏,欄,21,木
1231,樱,櫻,21,木
1232,歼,殲,21,木
1233,纩,纊,21,木
1234,艺,藝,21,木
1235,药,藥,21,木
1236,莺,鶯,21,木
1237,蓦,驀,21,木
1238,薮,藪,21,木
1239,藕,藕,21,木
1240,藜,藜,21,木
1241,藤,藤,21,木
1242,赆,贐,21,木
1243,顾,顧,21,木
1244,颢,顥,21,木
1245,饶,饒,21,木
1246,馈,饋,21,木
1247,驱,驅,21,木
1248,鳏,鰥,21,木
1249,鹘,鶻,21,木
1250,鹣,鶼,21,木
1251,龈,齦,21,木
1252,俪,儷,21,火
1253,傩,儺,21,火
1254,啭,囀,21,火
1255,嚼,嚼,21,火
1256,斓,斕,21,火
1257,曩,曩,21,火
1258,灶,竈,21,火
1259,烂,爛,21,火
1260,珑,瓏,21,火
1261,癞,癩,21,火
1262,粝,糲,21,火
1263,缠,纏,21,火
1264,腊,臘,21,火
1265,蛎,蠣,21,火
1266,蜡,蠟,21,火
1267,袜,襪,21,火
1268,览,覽,21,火
1269,跻,躋,21,火
1270,踌,躊,21,火
1271,迩,邇,21,火
1272,闼,闥,21,火
1273,馔,饌,21,火
1274,骡,騾,21,火
1275,髅,髏,21,火
1276,魑,魑,21,火
1277,鳎,鰨,21,火
1278,鳐,鰩,21,火
1279,鹞,鷂,21,火
1280,巍,巍,21,土
1281,撄,攖,21,土
1282,砻,礱,21,土
1283,礴,礴,21,土
1284,蠡,蠡,21,土
1285,誉,譽,21,土
1286,跃,躍,21,土
1287,骜,驁,21,土
1288,啮,齧,21,金
1289,嗫,囁,21,金
1290,属,屬,21,金
1291,忏,懺,21,金
1292,搀,攙,21,金
1293,续,續,21,金
1294,羼,羼,21,金
1295,蠢,蠢,21,金
1296,谴,譴,21,金
1297,赃,贓,21,金
1298,鄹,鄹,21,金
1299,鐾,鐾,21,金
1300,铁,鐵,21,金
1301,铎,鐸,21,金
1302,铛,鐺,21,金
1303,镌,鐫,21,金
1304,镭,鐳,21,金
1305,镯,鐲,21,金
1306,镰,鐮,21,金
1307,险,險,21,金
1308,随,隨,21,金
1309,隧,隧,21,金
1310,骖,驂,21,金
1311,骢,驄,21,金
1312,鹚,鷀,21,金
1313,鹾,鹺,21,金
1314,麝,麝,21,金
1315,护,護,21,水
1316,攘,攘,21,水
1317,潋,瀲,21,水
1318,澜,瀾,21,水
1319,瀵,瀵,21,水
1320,瀹,瀹,21,水
1321,猕,獼,21,水
1322,缬,纈,21,水
1323,藩,藩,21,水
1324,蠛,蠛,21,水
1325,轰,轟,21,水
1326,辟,闢,21,水
1327,辩,辯,21,水
1328,邈,邈,21,水
1329,醺,醺,21,水
1330,霸,霸,21,水
1331,霹,霹,21,水
1332,飙,飆,21,水
1333,骠,驃,21,水
1334,魔,魔,21,水
1335,鳍,鰭,21,水
1336,鹤,鶴,21,水
1337,黯,黯,21,水
1338,鼙,鼙,21,水
