序号,简体,繁体,康熙笔画,字义五行
275,珏,珏,10,火
276,瓞,瓞,10,火
277,瓴,瓴,10,火
278,留,留,10,火
279,畜,畜,10,火
280,疸,疸,10,火
281,疼,疼,10,火
282,疾,疾,10,火
283,眦,眥,10,火
284,祝,祝,10,火
285,秦,秦,10,火
286,秧,秧,10,火
287,秩,秩,10,火
288,秭,秭,10,火
289,窈,窈,10,火
290,站,站,10,火
291,纳,納,10,火
292,耄,耄,10,火
293,者,者,10,火
294,耻,恥,10,火
295,耽,耽,10,火
296,耿,耿,10,火
297,肢,肢,10,火
298,肭,肭,10,火
299,舀,舀,10,火
300,芮,芮,10,火
301,蚋,蚋,10,火
302,蚪,蚪,10,火
303,衄,衄,10,火
304,衲,衲,10,火
305,衷,衷,10,火
306,讨,討,10,火
307,讯,訊,10,火
308,迅,迅,10,火
309,个,個,10,土
310,俺,俺,10,土
311,冤,冤,10,土
312,员,員,10,土
313,唉,唉,10,土
314,埂,埂,10,土
315,埃,埃,10,土
316,埋,埋,10,土
317,城,城,10,土
318,埏,埏,10,土
319,埒,埒,10,土
320,娓,娓,10,土
321,宴,宴,10,土
322,容,容,10,土
323,岘,峴,10,土
324,峡,峽,10,土
325,峨,峨,10,土
326,峭,峭,10,土
327,恙,恙,10,土
328,恩,恩,10,土
329,按,按,10,土
330,晏,晏,10,土
331,案,案,10,土
332,殷,殷,10,土
333,氤,氤,10,土
334,益,益,10,土
335,盎,盎,10,土
336,眙,眙,10,土
337,眢,眢,10,土
338,砝,砝,10,土
339,砟,砟,10,土
340,砣,砣,10,土
341,砥,砥,10,土
342,砧,砧,10,土
343,砩,砩,10,土
344,砬,砬,10,土
345,砭,砭,10,土
346,砰,砰,10,土
347,破,破,10,土
348,翁,翁,10,土
349,肫,肫,10,土
350,育,育,10,土
351,舁,舁,10,土
352,蚓,蚓,10,土
353,蚜,蚜,10,土
354,袁,袁,10,土
355,軎,軎,10,土
356,轩,軒,10,土
357,迂,迂,10,土
358,酏,酏,10,土
359,乘,乘,10,金
360,书,書,10,金
361,仓,倉,10,金
362,伥,倀,10,金
363,修,修,10,金
364,借,借,10,金
365,倡,倡,10,金
366,倩,倩,10,金
367,倪,倪,10,金
368,凋,凋,10,金
369,刍,芻,10,金
370,刚,剛,10,金
371,剖,剖,10,金
372,剜,剜,10,金
373,剞,剞,10,金
374,剡,剡,10,金
375,剥,剝,10,金
376,厝,厝,10,金
377,叟,叟,10,金
378,哨,哨,10,金
379,哳,哳,10,金
380,唆,唆,10,金
381,唏,唏,10,金
382,唑,唑,10,金
383,奘,奘,10,金
384,娠,娠,10,金
385,孙,孫,10,金
386,宫,宮,10,金
387,宰,宰,10,金
388,宵,宵,10,金
389,宸,宸,10,金
390,射,射,10,金
391,峻,峻,10,金
392,差,差,10,金
393,师,師,10,金
394,席,席,10,金
395,座,座,10,金
396,弱,弱,10,金
397,徐,徐,10,金
398,息,息,10,金
399,扇,扇,10,金
400,拯,拯,10,金
401,拴,拴,10,金
402,拽,拽,10,金
403,拾,拾,10,金
404,持,持,10,金
405,指,指,10,金
406,挈,挈,10,金
407,时,時,10,金
408,晁,晁,10,金
409,栽,栽,10,金
